82542, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
85414, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/CityAdministration/d/project-implementation/o/OaklandArmyBase/index.htm
85415, {{%content}}, field_about, http://www2.oaklandnet.com/government/o/CityAdministration/d/project-implementation/o/OaklandArmyBase/index.htm
85429, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
85431, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
86113, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK05126.pdf
86114, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK05126.pdf
86119, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK059129.pdf
86119, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK05126.pdf
86120, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK059129.pdf
86120, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK05126.pdf
86121, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK059129.pdf
86121, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK05126.pdf
86122, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK059129.pdf
86122, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/agenda/OAK05126.pdf
89152, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak045792.pdf
91951, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/police/documents/image/oak071184
91951, {{%content}}, field_about, http://www2.oaklandnet.com/oakca1/groups/police/documents/image/OAK071185
